field,element,stream,source_system,method,target_systems,total,mapped,unmapped,coverage_pct,occurrences_total,occurrences_mapped,occurrence_coverage_pct,codes_never_used,declined_never_used,equivalent,relatedto,unmatched,confidence_threshold,confidence_median,within_0.05,within_0.1,within_0.2,within_0.3,within_0.4,reason_absent-from-all-built-releases,reason_no-suitable-concept,status_below-threshold,status_device-care,status_extension,status_no-match,status_not-a-volume,status_not-searchable,status_ok,status_total,status_wrong-action
condition,Condition.code,mimic-diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,notation,http://hl7.org/fhir/sid/icd-10-cm,18450,18450,0,100.0,0,0,0.0,18450,0,18450,0,0,,,,,,,,,,,,,,,,,,
condition,Condition.code,mimic-diagnosis-icd9,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,notation,http://hl7.org/fhir/sid/icd-10-cm;http://hl7.org/fhir/sid/icd-9-cm,9463,9463,0,100.0,0,0,0.0,9463,0,9463,0,0,,,,,,,,,,,,,,,,,,
observation,Observation.code,mimic-observation-type-ed,http://loinc.org,identity,http://loinc.org,4,4,0,100.0,4404481,4404481,100.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,
observation,Observation.code,mimic-observation-type-vital,http://loinc.org,identity,http://loinc.org,5,5,0,100.0,9948485,9948485,100.0,0,0,5,0,0,,,,,,,,,,,,,,,,,,
observation,Observation.code,mimic-microbiology-antibiotic,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-antibiotic,table,http://loinc.org,27,27,0,100.0,1107278,1107278,100.0,0,0,0,27,0,0.8,0.85,0,0,0,0,0,,,,,,,,,27,,
observation,Observation.code,mimic-outputevents-d-items,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://loinc.org,77,61,16,79.2,4234967,4160537,98.24,6,5,0,61,16,0.8,0.9,3,3,3,3,3,,16,3,,,4,5,,61,4,
observation,Observation.code,mimic-microbiology-test,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-test,table,http://loinc.org,176,116,60,65.9,2184371,1501052,68.71,0,0,0,116,60,0.8,0.85,11,25,26,27,27,,60,27,,,33,,,116,,
observation,Observation.code,mimic-datetimeevents-d-items,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://snomed.info/sct,188,101,87,53.7,7112999,3710364,52.16,18,8,0,101,87,0.8,0.8,7,26,32,32,32,,87,32,16,1,37,,,101,,1
observation,Observation.code,mimic-microbiology-organism,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-microbiology-organism,table,http://snomed.info/sct,646,622,24,96.3,289928,245856,84.79,0,0,0,622,24,0.8,1.0,2,5,15,15,15,,24,15,,,9,,,622,,
observation,Observation.code,mimic-d-labitems,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,table,http://loinc.org,1622,1130,492,69.7,118171367,101953673,86.27,707,297,0,1130,492,0.8,0.85,64,127,139,143,143,,492,143,,,342,,7,1130,,
observation-component,Observation.component.code,mimic-observation-component-vital,http://loinc.org,identity,http://loinc.org,2,2,0,100.0,3979394,3979394,100.0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
procedure,Procedure.code,mimic-procedure-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd10,notation,http://www.cms.gov/Medicare/Coding/ICD10,10031,10031,0,100.0,223107,223107,100.0,0,0,10031,0,0,,,,,,,,,,,,,,,,,,
procedure,Procedure.code,mimic-procedure-icd9,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-procedure-icd9,notation,http://hl7.org/fhir/sid/icd-9-cm,2544,2542,2,99.9,446079,445936,99.96,0,0,2542,0,2,,,,,,,,2,,,,,,,,,,
procedure,Procedure.code,mimic-procedure-types-ed,http://snomed.info/sct,identity,http://snomed.info/sct,2,2,0,100.0,1989697,1989697,100.0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
procedure,Procedure.code,mimic-procedureevents-d-items,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,table,http://snomed.info/sct,169,108,61,63.9,696092,450017,64.64,12,7,0,108,61,0.8,0.85,13,18,21,35,35,,61,35,,7,19,,,108,,
